"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008277","GO:0008277","regulation of G protein-coupled receptor signaling pathway","21/1188","167/18860",0.125748502994012,1.99631040948406,3.3530350991929,0.0019137820885373,0.0446522773375295,0.0385187806628913,"NMT2/PRKCA/NRXN1/PTGDR2/RGS20/RGS6/EDN1/MRAP2/ALK/PLEK/PHF24/TUB/PDE3A/GRK5/GPR158/MET/RGS2/ADM/KLK6/NOS1/PLCB1",21
"GO:0036376","GO:0036376","sodium ion export across plasma membrane","6/1188","22/18860",0.272727272727273,4.32966023875115,4.05152537510395,0.00191891326375781,0.0446522773375295,0.0385187806628913,"FXYD7/FXYD1/FXYD5/ATP1B3/ATP1B2/NPPA",6
"GO:0150078","GO:0150078","positive regulation of neuroinflammatory response","6/1188","22/18860",0.272727272727273,4.32966023875115,4.05152537510395,0.00191891326375781,0.0446522773375295,0.0385187806628913,"TAFA3/PLCG2/MIR142/CCR1/CTSC/IL18",6
"GO:0007015","GO:0007015","actin filament organization","46/1188","469/18860",0.0980810234541578,1.55707752722678,3.16755443810219,0.00193000773587434,0.0447160233870107,0.0385737704695596,"CCDC88A/MYO1H/BIN1/CYRIA/CALD1/ELN/ADD2/COTL1/FAM171A1/TPM2/TMSB15A/PALM2AKAP2/FSCN1/S100A10/DSG3/USH1C/DIAPH2/NEB/RGCC/ERMN/PLEK/TRPV4/PAK3/GMFG/SH3KBP1/ACTC1/SFRP1/ADD3/MET/CCL26/PPM1F/WIPF1/LCP1/TRPV3/AIF1L/ESPNL/DIAPH3/RND3/ZEB2/GPR65/MICAL3/NCKAP1L/PLS3/SPTB/HCLS1/POF1B",46
"GO:0060419","GO:0060419","heart growth","15/1188","103/18860",0.145631067961165,2.31195449642052,3.46162799628001,0.00195778622726767,0.0451641029669679,0.0389603012377313,"FOXC1/FGF9/DIPK2A/GATA6/PPARA/EDN1/AKAP6/MEF2C/NKX2-5/MESP1/FOXC2/RGS2/FES/MAPK14/NPPA",15
"GO:0050673","GO:0050673","epithelial cell proliferation","48/1188","496/18860",0.0967741935483871,1.53633105246008,3.13844728050743,0.00204868935534722,0.0469781595681514,0.0405251765923043,"DLX5/CLDN1/DLX6/ST8SIA1/FGF9/PRKCA/OSR1/HAS2/CDKN2A/SERPINB5/IL12A/GATA6/SNAI2/CDK6/BCL11B/EGFR/FABP7/NCF1/CYP7B1/FERMT1/RGCC/TGM1/HLX/MEF2C/RUNX3/CEBPB/SLURP1/CCL2/PTCH1/NKX2-5/SFRP1/CCL26/HOXA5/CCN3/DAB2/HMGA2/MMP12/NFIB/KLK8/PRKX/FMC1/ODAM/BTK/ZEB2/GDF5/GPBAR1/C5AR1/FGFBP1",48
"GO:0008016","GO:0008016","regulation of heart contraction","26/1188","225/18860",0.115555555555556,1.83449307893752,3.26493093457309,0.00205397782865236,0.0469781595681514,0.0405251765923043,"BIN1/ATP2B3/TMEM65/RYR2/EDN1/FXYD1/HCN1/DMD/DSC2/GLP1R/ACE2/KCNIP1/JPH1/JPH2/NKX2-5/MYBPC3/TNNT2/KCNJ2/EDN2/ATP1B2/CELF2/RGS2/ADM/NOS1/KCNA5/NPPA",26
"GO:0050890","GO:0050890","cognition","35/1188","333/18860",0.105105105105105,1.66858777969889,3.19155769345367,0.00208023964308948,0.0473763513609145,0.040868672226609,"EN1/OPRK1/PRKCA/ELAVL4/RP9/LCN2/PTCHD1/NRXN1/SOBP/MGAT3/B3GAT1/FZD9/SORCS3/VLDLR/EGFR/GABRB3/S100B/MEF2C/KCNAB1/PRNP/CEBPB/GLP1R/CHD7/BCHE/GPR158/HTR2A/NPAS4/KLK8/SCN2A/NRGN/CSMD1/SGK1/PLCB1/TLR2/C5AR1",35
"GO:0043268","GO:0043268","positive regulation of potassium ion transport","8/1188","38/18860",0.210526315789474,3.34219386850966,3.74719636967218,0.00217034707975945,0.0492190575036973,0.0424582617833405,"GAL/OPRK1/AKAP7/AKAP6/ATP1B3/KCNJ2/ATP1B2/NPPA",8
"GO:0042100","GO:0042100","B cell proliferation","14/1188","94/18860",0.148936170212766,2.36442438570098,3.4383671005581,0.0022021981006348,0.0497306507788921,0.0428995819204273,"LYN/CDKN2A/PLCL2/CD79A/MEF2C/CD40/CD19/TNFRSF21/IKZF3/BTK/CD38/CTLA4/NCKAP1L/TNFSF13B",14
