"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LOC105376960",0.0972767246823949,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"RHBDF1P1",0.529738079971146,0.0445587525289675,1.45746029066687,0.0305728758541883,0.975610173967175,NA
"RNU6-905P",0,NA,NA,NA,NA,NA
"RNA5SP124",0,NA,NA,NA,NA,NA
"TRSUP-CTA2-1",0,NA,NA,NA,NA,NA
"LINC00620",0.288392892727943,1.26377052479785,2.5828773495704,0.489287857593411,0.624637916311476,NA
"LOC100293612",0.133901681714906,0.32598553096623,3.02618800583873,0.107721506508278,0.914216609055439,NA
"SNORA93",0.311908167222406,0.338231982342984,1.59999812068982,0.211395237262628,0.832578872887269,NA
"LOC100128772",0.130076117738387,1.21586787538928,3.02499042804527,0.40194106537222,0.68772739971674,NA
"RPL39P17",0.306629545140009,-1.59615369369491,3.00647265880273,-0.530905773921304,0.595484076428923,NA
"LINC02022",0,NA,NA,NA,NA,NA
"LOC100421505",0.271826200613469,-0.549637592703723,2.1634433640588,-0.254056843749566,0.799451643374023,NA
"LOC100421504",0.244870784508787,0.926456642147208,2.64042209890116,0.350874446374602,0.725682543025686,NA
"MARK3P2",0.185156501595682,0.037450486410572,3.02618800583873,0.0123754658792894,0.99012605887871,NA
"LOC124909346",0.610006816914836,0.993455095348976,1.22472988748812,0.811162612669245,0.417272292980301,NA
"SNORA7A",0,NA,NA,NA,NA,NA
"CRIP1P1",0.175335999105271,0.863076651174749,2.8571022615236,0.302081120020709,0.762590224571616,NA
"LOC124906355",0.302990317271779,0.34328435084073,1.60869920349885,0.213392503765839,0.831020826987304,NA
"GSTM5P1",0.849152956963632,1.88680161292566,1.84405547327426,1.02318050637354,0.306222507980797,NA
"MTCO1P5",0.107409222471154,0.32598553096623,3.02618800583873,0.107721506508278,0.91421660905544,NA
"CHCHD4P4",0.395042429471585,-0.219235949662282,1.43261912467016,-0.15303156706969,0.878373381554264,NA
"LOC101927467",0.406870158250569,1.46046303402746,1.75307176964445,0.833087988362092,0.404795107389998,NA
"LINC00606",0.0423225469764001,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"ATP2B2-IT2",0,NA,NA,NA,NA,NA
"MIR885",0,NA,NA,NA,NA,NA
"MIR378B",0.037055824032351,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"MIR12127",0,NA,NA,NA,NA,NA
"LOC124906359",0.0830326801881082,0.32598553096623,3.02618800583873,0.107721506508278,0.91421660905544,NA
"RNU6-670P",0.221190704485034,-0.822990332481605,2.70134346352676,-0.304659641986859,0.760625390194682,NA
"LOC105376949",0.0423225469764001,0.614520575521888,3.02618800583873,0.203067547137267,0.839082236869437,NA
"SRGAP3-AS2",0.822441337273841,-0.88337097576244,1.19437023440349,-0.739612349937396,0.459535245814003,NA
"LOC124900561",0.239843688427369,-1.28302725834407,2.69289080615226,-0.476449789725165,0.633753970358657,NA
"LINC00312",0,NA,NA,NA,NA,NA
"RNU4ATAC17P",0,NA,NA,NA,NA,NA
"LOC101927394",0.802633725048967,-1.50160477486456,1.13639666486472,-1.32137379604446,0.186376758867512,NA
"LOC124909342",0.154392134773135,1.21566126388221,2.91935683527551,0.416414070795662,0.677107033922884,NA
"GRM7-AS1",0.516346795321979,0.401332780718899,1.44434314786694,0.277865257512802,0.78111579452164,NA
"GRM7-AS2",0.0443338038639876,0.0374491652052101,3.02618800583873,0.0123750292886482,0.990126407200969,NA
"LOC105376945",0.279112219994881,0.634113764369599,1.84480301944089,0.343729795369579,0.731049501526883,NA
"LOC105376943",0.196714681749535,1.55077747767893,2.77840546818463,0.558153766769034,0.576739388332298,NA
"MRPS36P1",0.181754668850677,0.600016656979228,2.36119592681858,0.254115573453354,0.799406272317854,NA
"LOC105376944",0.652559718580191,2.04629572135611,2.05461115825455,0.995952792884909,0.319273082580666,NA
"GRM7-AS3",0.294523401163872,0.633963649209514,1.82620508802469,0.347148112425445,0.728480049841437,NA
"LOC124909341",0.17656825002569,0.0374517399686197,2.82227242743217,0.0132700654992031,0.989412330356898,NA
"LOC105376942",0.240404680698191,0.313360617064541,1.91907968459771,0.163286923195287,0.870292529499213,NA
"LOC102723596",0.385985561499068,1.32085281655703,1.59368822298026,0.828802520788531,0.407216161595031,NA
"LOC105376941",0.179135755701837,0.903056941282908,3.02618800583873,0.298414024356897,0.765387186525783,NA
"LOC105376940",0.161953718519515,-0.251082435301449,2.39258643555169,-0.104941845180842,0.91642195461292,NA
"LOC105376938",0.210586581533236,0.0374524495379306,2.70002971172938,0.0138711249640072,0.988932798454607,NA
"LOC105376939",0.888243054576441,1.79210416131949,1.42409004958814,1.25842053445832,0.208239709422935,NA
"MRPS35P1",0,NA,NA,NA,NA,NA
"LOC105376936",0,NA,NA,NA,NA,NA
"LOC124906205",0.121831822739761,1.21586787538928,3.02499042804527,0.40194106537222,0.68772739971674,NA
"RN7SL553P",0.103885115130932,0.32598553096623,3.02618800583873,0.107721506508278,0.91421660905544,NA
"MIR4790",0.0866563508403876,0.32598553096623,3.02618800583873,0.107721506508278,0.914216609055439,NA
"UBTFL8",0.452910518537936,1.41282578518292,1.53340131649739,0.921367270252587,0.356858710668012,NA
"RNF10P1",0.0443338038639876,0.0374491652052101,3.02618800583873,0.0123750292886482,0.990126407200969,NA
"LOC124906358",0.302644166126929,-1.04487660812604,2.63645456341532,-0.396318837663746,0.691869832134325,NA
"LOC105376933",0.878600257095997,0.796310163369818,1.04729871568664,0.760346739132332,0.447047350668597,NA
"LOC124906344",0.411472239533556,-0.765842734088214,1.40035574895941,-0.546891555704544,0.584453237435777,NA
"MRPS10P2",0.569322422126756,-0.549894182733191,1.30433649896866,-0.421589201228358,0.673324889769791,NA
"LOC124909339",0.257312562487125,0.601204329678637,2.18666162804832,0.27494163795943,0.783361076928924,NA
"DNAJC19P4",0.141538274016943,0.0374507344798223,2.98693981969005,0.0125381617108404,0.989996256458007,NA
"LOC105376926",0.575978924440641,-1.4073331916154,1.8466237176273,-0.762111510959939,0.445993453261923,NA
"CNTN4-AS2",0.213780745637886,-0.549894091678222,2.28008364882519,-0.241172770990904,0.809421213707081,NA
"RN7SKP144",0.0478579112042094,0.0374491652052101,3.02618800583873,0.0123750292886482,0.990126407200969,NA
"RPL21P17",0.767759800749969,-0.0718097087622743,1.51266338784442,-0.0474723651932932,0.962136754876846,NA
"RPL23AP39",0.335599938224793,1.44580387393601,1.78831306984464,0.80847358234742,0.418818007880026,NA
"RPL23AP38",0.475152873859102,0.347062772326595,2.06439758009659,0.168118184051716,0.866490304148806,NA
"CRB3P1",0,NA,NA,NA,NA,NA
"LOC105376923",0,NA,NA,NA,NA,NA
"LOC105376924",0.371614570591002,-0.552921035510365,1.58260376353251,-0.349374270585707,0.726808346889065,NA
